source_path,source_filename,source_width,source_height,cluster,landing_slug,case_name,slot,target_width,target_height,crop_anchor,crop_note,output_filename,alt_text,caption,description,ad_ok,ad_restriction,needs_face_crop,needs_logo_crop,needs_alcohol_avoid,priority,owner_review_status
/Users/pagemacmini/Desktop/案例分享wordpress用/上曜建設vip迎賓.PNG,上曜建設vip迎賓.PNG,1290,2262,brand_vip,vip-expo-catering-business-meeting,real_estate_vip_reception,story_9x16,1080,1920,venue_context,keep skyline and dessert table; avoid making project logo the main subject,maplab-real-estate-vip-reception-shangyao-story.webp,MAPLAB 建設公司 VIP 迎賓茶點，建案接待外燴服務,高樓景觀與精緻點心支撐建案 VIP 接待與預售屋說明會場景,建案 VIP 接待素材，呈現商務空間與餐點桌整體質感,yes,external_logo,no,yes,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/泰嘉建設vip說明會.PNG,泰嘉建設vip說明會.PNG,1290,2292,brand_vip,vip-expo-catering-business-meeting,real_estate_vip_briefing,story_9x16,1080,1920,venue_context,keep model and catering context; crop logo if used in ads,maplab-real-estate-vip-briefing-taijia-story.webp,MAPLAB 建案 VIP 潛銷說明會茶點，房地產接待餐點,建案說明會茶點適合支撐 VIP 接待與商務洽談 landing page,房地產說明會與建案接待案例素材,site_only,external_logo,no,yes,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/宏福悅vip接待會.HEIC,宏福悅vip接待會.HEIC,3903,2927,brand_vip,vip-expo-catering-business-meeting,real_estate_vip_reception,hero_16x9,1600,900,food_table,keep horizontal table and space context; avoid faces/project signage,maplab-real-estate-vip-reception-hongfuyue-hero.webp,MAPLAB 房地產 VIP 接待會茶點，建案活動外燴,橫式高解析圖適合作為 VIP 接待頁案例主圖,房地產 VIP 接待與商務茶會 proof image,yes,external_logo,maybe,yes,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/amd辦公室開幕茶會.JPG,amd辦公室開幕茶會.JPG,1645,2193,opening_tea,tainan-corporate-opening-tea-catering,office_opening_tea_party,story_9x16,1080,1920,venue_context,keep office context and dessert table; crop external brand mark for ads,maplab-office-opening-amd-tea-party-story.webp,MAPLAB 辦公室開幕茶會，科技公司開幕活動餐點,辦公室開幕茶會呈現科技公司新據點接待需求,企業辦公室開幕與新據點茶會素材,yes,external_logo,no,yes,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/東京威力科創廠區開幕.HEIC,東京威力科創廠區開幕.HEIC,3024,4032,opening_tea,tainan-corporate-opening-tea-catering,tech_factory_opening,story_9x16,1080,1920,venue_context,keep formal opening atmosphere; inspect faces and signage before ad use,maplab-tech-factory-opening-tea-party-story.webp,MAPLAB 科技廠區開幕茶會，企業開幕活動外燴,科技廠區開幕可支撐大型企業開幕與正式接待案例,企業廠區開幕茶會與貴賓接待素材,site_only,possible_faces,maybe,yes,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/興達海洋公司開幕茶會.JPG,興達海洋公司開幕茶會.JPG,1389,1042,opening_tea,tainan-corporate-opening-tea-catering,company_opening_tea_party,case_4x3,1200,900,center,keep full table; use 4x3 case crop and avoid overcropping,maplab-company-opening-ocean-industry-tea-party-case.webp,MAPLAB 公司開幕茶會，台南企業開幕茶點桌,公司開幕茶會直接支撐開幕茶會與企業開幕外燴搜尋意圖,台南企業開幕茶點桌案例素材,yes,,no,no,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/家居與設計開幕茶會.PNG,家居與設計開幕茶會.PNG,1290,1712,opening_tea,tainan-corporate-opening-tea-catering,interior_design_opening,meta_4x5,1080,1350,food_table,keep catering display; reduce store/logo prominence,maplab-interior-design-opening-tea-party-meta.webp,MAPLAB 家居與設計開幕茶會，品牌空間開幕餐點,室內設計與家居品牌開幕適合串接商空與品牌開幕茶會需求,品牌空間開幕茶會素材,yes,external_logo,no,yes,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/國泰建設財富管理論壇.png,國泰建設財富管理論壇.png,1421,947,corporate_meeting,brand-esg-catering-service,corporate_forum,hero_16x9,1600,900,center,keep table and forum context; confirm brand exposure for ads,maplab-corporate-forum-cathay-wealth-management-hero.webp,MAPLAB 台南企業外燴，國泰建設財富管理論壇茶點桌,財富管理論壇以正式桌面與精緻茶點呈現企業接待質感,企業論壇與財富管理活動茶點 proof image,site_only,external_logo,no,yes,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/美麗代言人微商大會再創巔峰.PNG,美麗代言人微商大會再創巔峰.PNG,1260,1533,corporate_meeting,brand-esg-catering-service,brand_conference,meta_4x5,1080,1350,food_table,keep brand event scale but avoid faces and large external logos,maplab-brand-conference-beauty-summit-meta.webp,MAPLAB 品牌大會活動茶點，微商大會外燴餐點陳列,品牌型大會適合支撐發表會、會員大會與活動餐點需求,品牌大會與會員活動外燴素材,yes,external_logo,maybe,yes,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/賓士集團捐車送愛心活動.PNG,賓士集團捐車送愛心活動.PNG,1272,1401,corporate_meeting,brand-esg-catering-service,brand_esg_event,case_4x3,1200,900,food_table,crop to catering table; do not make car logo the main subject,maplab-brand-esg-benz-donation-event-case.webp,MAPLAB 企業公益活動茶點，品牌 ESG 活動餐點服務,企業公益與品牌活動可作 ESG、記者會、品牌接待案例,企業 ESG 活動與公益活動餐點素材,site_only,external_logo,maybe,yes,no,P1,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/成大會議茶點.PNG,成大會議茶點.PNG,1290,2279,meeting_refreshment,corporate-tea-party-desserts,ncku_meeting_refreshment,story_9x16,1080,1920,food_table,keep NCKU location sticker if not blocking food; create separate 4x5 crop for Meta,maplab-meeting-refreshment-ncku-library-story.webp,MAPLAB 成功大學會議茶點，台南研討會點心外燴,成功大學圖書館總館會議茶點，適合研討會、講座與校園活動茶點配置,台南研討會與校園會議茶點素材,yes,,no,no,no,P2,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/成大實驗室揭牌典禮.JPG,成大實驗室揭牌典禮.JPG,2034,1526,meeting_refreshment,corporate-tea-party-desserts,ncku_lab_opening,case_4x3,1200,900,center,inspect faces and school logo; crop to food table for ads,maplab-university-lab-opening-ncku-case.webp,MAPLAB 成功大學實驗室揭牌典禮茶點，校園活動外燴,實驗室揭牌活動支撐校園、研究單位與正式儀式茶點需求,校園揭牌典禮與研究單位茶點素材,site_only,possible_faces,maybe,yes,no,P2,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/大新美術館開幕茶會.JPG,大新美術館開幕茶會.JPG,2116,1588,cultural_venue,daxin-art-museum-opening-catering,art_museum_opening,hero_16x9,1600,900,venue_context,keep museum opening buffet and venue atmosphere; avoid people/logo if present,maplab-art-museum-opening-daxin-hero.webp,MAPLAB 大新美術館開幕茶會，藝文場館外燴餐點,美術館開幕茶會呈現藝文活動與餐桌設計整合,文化場館與美術館開幕茶會素材,yes,possible_faces,maybe,maybe,no,P2,pending
/Users/pagemacmini/Desktop/案例分享wordpress用/國立台灣史前博物館西拉雅特展.HEIC,國立台灣史前博物館西拉雅特展.HEIC,2193,1645,cultural_venue,daxin-art-museum-opening-catering,museum_exhibition_opening,hero_16x9,1600,900,venue_context,keep exhibition context and catering; confirm venue name exposure,maplab-museum-exhibition-siraya-opening-case.webp,MAPLAB 國立台灣史前博物館西拉雅特展茶會，展覽活動外燴,博物館特展茶會支撐展覽開幕、文化活動與品牌場域接待,博物館特展與文化場館茶會素材,site_only,external_logo,no,yes,no,P2,pending
