source_id,source_type,title,path_or_id,canonical_status,used_by_departments,used_by_roles,upstream,downstream,related_tasks,related_loops,sensitivity,last_verified,notes
GOV-CURRENT-STATUS,github_file,MAPLAB Current Status,CURRENT_STATUS.md,canonical_governance,"總調度秘書;系統總管中心;A2-A8;Investment OS B-role","A0;A1;A2;A3;A4;A5;A6;A7;A8;B1;B2;B3;B4;B5","Task Cards;runtime receipts","Chrome Extension;Task Board;patrol;all roles",,"System Governance",internal,2026-07-15,"與 Task Card 或 runtime 衝突時標記 drift"
GOV-INVEST-STATE,github_file,Investment OS Current State,page1010/investment-os/CURRENT_STATE.md,canonical_runtime_state,"Investment OS;系統總管中心;總調度秘書","A0;A1;B1;B2;B3;B4;B5;IOS-MOMENTUM;IOS-KOL;IOS-FB;IOS-ALPHA;IOS-BLACKSWAN;IOS-INVENTORY;IOS-MACRO;IOS-CHIP;IOS-LEFT;IOS-RIGHT;IOS-EVIDENCE;IOS-SIM;IOS-FAMILY;IOS-HEDGE;IOS-SURFACE;IOS-HYGIENE;IOS-SELL","runtime;SQLite;broker sync;OpenClaw","Telegram;Dashboard;decision cards",,"Investment Decision Loop",financial,2026-07-06,"不得用 handbook 舊快照代替"
GOV-COMPANY-VALUES,github_file,MAPLAB Company Values,docs/company-values.md,canonical_governance,"所有部門","A0;A1;A2;A3;A4;A5;A6;A7;A8;B1;B2;B3;B4;B5;WIN;ALL-IOS",,"all tasks;all outputs",,"System Governance",internal,2026-06-25,"冷啟動必讀"
GOV-AGENT-RULES,github_file,Agent Rules,AGENT_RULES.md,canonical_governance,"所有部門","A0;A1;A2;A3;A4;A5;A6;A7;A8;B1;B2;B3;B4;B5;WIN;ALL-IOS","company values;startup protocol","role behavior;approval boundaries",,"System Governance",internal,2026-07-12,"規則衝突不得自行猜測"
GOV-STARTUP,github_file,Agent Startup Protocol,AGENT_STARTUP_PROTOCOL.md,canonical_procedure,"所有部門","A0;A1;A2;A3;A4;A5;A6;A7;A8;B1;B2;B3;B4;B5;WIN;ALL-IOS","company values;directory index;role recall","Startup Check;skill routing",,"System Governance",internal,2026-07-13,"應追加讀 SYSTEM_DIRECTORY_INDEX 與 relation CSV"
GOV-DIRECTORY,github_file,System Directory Index,SYSTEM_DIRECTORY_INDEX.md,navigation_index,"所有部門","A0;A1;A2;A3;A4;A5;A6;A7;A8;B1;B2;B3;B4;B5;WIN;ALL-IOS","GitHub sources;Drive metadata;runtime receipts","cold start;search;dispatch;incident recall",,"System Knowledge Loop",internal,2026-07-18,"人工基線；後續由掃描器重建"
GOV-RELATION,generated_index,System Relation Index,workbook/system_index/system_relation_index.csv,generated_navigation,"所有部門","A0;A1;A2;A3;A4;A5;A6;A7;A8;B1;B2;B3;B4;B5;WIN;ALL-IOS","source inventory;role modules;Drive metadata","cold start filtering;impact analysis",,"System Knowledge Loop",internal,2026-07-18,"依 used_by_roles 篩選並讀 upstream/downstream"
GOV-PITFALLS,github_file,Pitfalls and recurring incidents,pitfalls.md,durable_learning,"所有部門","A0;A1;A2;A3;A4;A5;A6;A7;A8;B1;B2;B3;B4;B5;WIN;ALL-IOS","review bundles;failures","skills;prevention;diagnosis",,"System Knowledge Loop",internal,2026-07-15,"相同問題先查再診斷"
GOV-REVIEW-BUNDLES,github_folder,Review Bundles,workbook/reviews/JOB-*/,evidence_package,"系統總管中心;Investment OS B-role;各執行部門","A1;B1;B2;B3;B4;B5;A2;A3;A4;A5;A6;A7;A8","task execution;tests;raw model outputs","verification;archive;skill distillation",,"System Knowledge Loop",internal,2026-07-15,"原始輸出不得被摘要覆蓋"
SYS-LOCAL-MODEL-EVOLUTION,github_directory,Local Model Evolution,local_model_evolution/,operational_working_system,"系統總管中心;影子系統總管;Investment OS;搜尋流量作戰部","A1;B2;B4;B5;ALL-IOS;A2","model tier policy;Learning Loop;B5 distillation;Investment OS current truth;Drive metadata","Quota Sentinel;fixed eval;file-only shadow;promotion review","T-A1-LOCAL-MODEL-EVOLUTION-001","System Knowledge Loop;Investment Decision Loop;Marketing Loop",internal,2026-07-19,"第一輪 only；unknown quota 不建 teacher job；candidate wrapper 通過不等於模型升格"
