style_id,主題,Suno_prompt(英文;全instrumental),BPM,封面道具,案例對應
A1,備餐晨光,"instrumental acoustic bossa nova, warm nylon guitar lead, soft brushes, morning kitchen mood, no vocals",88,砧板與晨光,
A2,備餐晨光,"instrumental jazzhop, mellow piano lead, vinyl crackle, lazy swing drums, sunrise cafe feel, no vocals",90,咖啡手沖壺,
A3,備餐晨光,"instrumental bossa with accordion lead, light shaker groove, street-market morning warmth, no vocals",92,菜籃與蔬果,
A4,備餐晨光,"instrumental whistling melody over jazzhop beat, upright bass, cheerful prep-time energy, no vocals",95,擦亮的餐盤,
A5,備餐晨光,"instrumental chamber-pop bossa, pizzicato strings lead, gentle glockenspiel, fresh linen morning, no vocals",85,摺好的桌巾,
B1,派對進行,"instrumental nu-disco, funky guitar chops, four-on-floor, bright brass stabs, grand-opening celebration, no vocals",115,剪綵緞帶,服飾店開幕(series-02)
B2,派對進行,"instrumental city-pop groove, chorus-drenched guitar, warm synth pads, pastel party sparkle, no vocals",110,粉藍粉紅氣球,性別揭曉派對
B3,派對進行,"instrumental nu-disco with playful marimba lead, bouncy bassline, family celebration joy, no vocals",112,抓周道具盤,派對空間抓周(series-03)
B4,派對進行,"instrumental sophisti-pop, smooth electric piano, tasteful sax licks, corporate tea-party elegance, no vocals",108,香檳塔,企業茶會
B5,派對進行,"instrumental disco-soul, lush strings, wedding-banquet warmth, uplifting key change, no vocals",118,捧花與蛋糕,婚宴
C1,午後茶會,"instrumental kawaii future bass, bright synth bells, sidechained chords, dessert-table sweetness, no vocals",124,千層蛋糕,邦尼兔畢業(series-01)
C2,午後茶會,"instrumental chill EDM, music-box melody, soft claps, kids party bounce, playful and safe, no vocals",120,動物氣球,
C3,午後茶會,"instrumental tropical chillwave, steel-pan accents, breezy outdoor garden party, no vocals",104,野餐籃,
C4,午後茶會,"instrumental rainy-day chillhop, warm rhodes chords, raindrop percussion, cozy indoor tea time, no vocals",100,窗邊熱茶,
C5,午後茶會,"instrumental sunset future bass, mellow supersaw pads, golden-hour glow, gentle euphoria, no vocals",122,黃昏串燈,
D1,收工夜歌,"instrumental lofi jazz, muted trumpet lead, tape hiss, tables-being-cleared calm, end-of-night, no vocals",76,疊起的椅子,
D2,收工夜歌,"instrumental lofi hip hop with distant night-market ambience, warm bass, Taiwanese street nostalgia, no vocals",78,夜市燈牌遠景,
D3,收工夜歌,"instrumental slow blues-jazz, rain-on-arcade ambience, brushed drums, sheltered walkway mood, no vocals",72,騎樓雨滴,
D4,收工夜歌,"instrumental nakashi-inspired slow waltz, retro organ, wooden-floor old-house warmth, Taiwanese retro, no vocals",80,木地板與立扇,木地板老屋案
D5,收工夜歌,"instrumental ambient jazz lullaby, sparse piano, lights-out hush, closing-time farewell, no vocals",70,熄燈的吊燈,
